	CouponNumber,	CouponUID
	0300001,	0300001
	0300002,	0300002
	0300003,	0300003
	0300004,	0300004
	0300005,	0300005
	0300006,	0300006
	0300007,	0300007
	0300008,	0300008
	0300009,	0300009
	0300010,	0300010
	0300011,	0300011
	0300012,	0300012
	0300013,	0300013
	0300014,	0300014
	0300015,	0300015
	0300016,	0300016
	0300017,	0300017
	0300018,	0300018
	0300019,	0300019
	0300020,	0300020
	0300021,	0300021
	0300022,	0300022
	0300023,	0300023
	0300024,	0300024
	0300025,	0300025
	0300026,	0300026
	0300027,	0300027
	0300028,	0300028
	0300029,	0300029
	0300030,	0300030
	0300031,	0300031
	0300032,	0300032
	0300033,	0300033
	0300034,	0300034
	0300035,	0300035
	0300036,	0300036
	0300037,	0300037
	0300038,	0300038
	0300039,	0300039
	0300040,	0300040
	0300041,	0300041
	0300042,	0300042
	0300043,	0300043
	0300044,	0300044
	0300045,	0300045
	0300046,	0300046
	0300047,	0300047
	0300048,	0300048
	0300049,	0300049
	0300050,	0300050
	0300051,	0300051
	0300052,	0300052
	0300053,	0300053
	0300054,	0300054
	0300055,	0300055
	0300056,	0300056
	0300057,	0300057
	0300058,	0300058
	0300059,	0300059
	0300060,	0300060
	0300061,	0300061
	0300062,	0300062
	0300063,	0300063
	0300064,	0300064
	0300065,	0300065
	0300066,	0300066
	0300067,	0300067
	0300068,	0300068
	0300069,	0300069
	0300070,	0300070
	0300071,	0300071
	0300072,	0300072
	0300073,	0300073
	0300074,	0300074
	0300075,	0300075
	0300076,	0300076
	0300077,	0300077
	0300078,	0300078
	0300079,	0300079
	0300080,	0300080
	0300081,	0300081
	0300082,	0300082
	0300083,	0300083
	0300084,	0300084
	0300085,	0300085
	0300086,	0300086
	0300087,	0300087
	0300088,	0300088
	0300089,	0300089
	0300090,	0300090
	0300091,	0300091
	0300092,	0300092
	0300093,	0300093
	0300094,	0300094
	0300095,	0300095
	0300096,	0300096
	0300097,	0300097
	0300098,	0300098
	0300099,	0300099
	0300100,	0300100
	0300101,	0300101
	0300102,	0300102
	0300103,	0300103
	0300104,	0300104
	0300105,	0300105
	0300106,	0300106
	0300107,	0300107
	0300108,	0300108
	0300109,	0300109
	0300110,	0300110
	0300111,	0300111
	0300112,	0300112
	0300113,	0300113
	0300114,	0300114
	0300115,	0300115
	0300116,	0300116
	0300117,	0300117
	0300118,	0300118
	0300119,	0300119
	0300120,	0300120
	0300121,	0300121
	0300122,	0300122
	0300123,	0300123
	0300124,	0300124
	0300125,	0300125
	0300126,	0300126
	0300127,	0300127
	0300128,	0300128
	0300129,	0300129
	0300130,	0300130
	0300131,	0300131
	0300132,	0300132
	0300133,	0300133
	0300134,	0300134
	0300135,	0300135
	0300136,	0300136
	0300137,	0300137
	0300138,	0300138
	0300139,	0300139
	0300140,	0300140
	0300141,	0300141
	0300142,	0300142
	0300143,	0300143
	0300144,	0300144
	0300145,	0300145
	0300146,	0300146
	0300147,	0300147
	0300148,	0300148
	0300149,	0300149
	0300150,	0300150
	0300151,	0300151
	0300152,	0300152
	0300153,	0300153
	0300154,	0300154
	0300155,	0300155
	0300156,	0300156
	0300157,	0300157
	0300158,	0300158
	0300159,	0300159
	0300160,	0300160
	0300161,	0300161
	0300162,	0300162
	0300163,	0300163
	0300164,	0300164
	0300165,	0300165
	0300166,	0300166
	0300167,	0300167
	0300168,	0300168
	0300169,	0300169
	0300170,	0300170
	0300171,	0300171
	0300172,	0300172
	0300173,	0300173
	0300174,	0300174
	0300175,	0300175
	0300176,	0300176
	0300177,	0300177
	0300178,	0300178
	0300179,	0300179
	0300180,	0300180
	0300181,	0300181
	0300182,	0300182
	0300183,	0300183
	0300184,	0300184
	0300185,	0300185
	0300186,	0300186
	0300187,	0300187
	0300188,	0300188
	0300189,	0300189
	0300190,	0300190
	0300191,	0300191
	0300192,	0300192
	0300193,	0300193
	0300194,	0300194
	0300195,	0300195
	0300196,	0300196
	0300197,	0300197
	0300198,	0300198
	0300199,	0300199
	0300200,	0300200
	0300201,	0300201
	0300202,	0300202
	0300203,	0300203
	0300204,	0300204
	0300205,	0300205
	0300206,	0300206
	0300207,	0300207
	0300208,	0300208
	0300209,	0300209
	0300210,	0300210
	0300211,	0300211
	0300212,	0300212
	0300213,	0300213
	0300214,	0300214
	0300215,	0300215
	0300216,	0300216
	0300217,	0300217
	0300218,	0300218
	0300219,	0300219
	0300220,	0300220
	0300221,	0300221
	0300222,	0300222
	0300223,	0300223
	0300224,	0300224
	0300225,	0300225
	0300226,	0300226
	0300227,	0300227
	0300228,	0300228
	0300229,	0300229
	0300230,	0300230
	0300231,	0300231
	0300232,	0300232
	0300233,	0300233
	0300234,	0300234
	0300235,	0300235
	0300236,	0300236
	0300237,	0300237
	0300238,	0300238
	0300239,	0300239
	0300240,	0300240
	0300241,	0300241
	0300242,	0300242
	0300243,	0300243
	0300244,	0300244
	0300245,	0300245
	0300246,	0300246
	0300247,	0300247
	0300248,	0300248
	0300249,	0300249
	0300250,	0300250
	0300251,	0300251
	0300252,	0300252
	0300253,	0300253
	0300254,	0300254
	0300255,	0300255
	0300256,	0300256
	0300257,	0300257
	0300258,	0300258
	0300259,	0300259
	0300260,	0300260
	0300261,	0300261
	0300262,	0300262
	0300263,	0300263
	0300264,	0300264
	0300265,	0300265
	0300266,	0300266
	0300267,	0300267
	0300268,	0300268
	0300269,	0300269
	0300270,	0300270
	0300271,	0300271
	0300272,	0300272
	0300273,	0300273
	0300274,	0300274
	0300275,	0300275
	0300276,	0300276
	0300277,	0300277
	0300278,	0300278
	0300279,	0300279
	0300280,	0300280
	0300281,	0300281
	0300282,	0300282
	0300283,	0300283
	0300284,	0300284
	0300285,	0300285
	0300286,	0300286
	0300287,	0300287
	0300288,	0300288
	0300289,	0300289
	0300290,	0300290
	0300291,	0300291
	0300292,	0300292
	0300293,	0300293
	0300294,	0300294
	0300295,	0300295
	0300296,	0300296
	0300297,	0300297
	0300298,	0300298
	0300299,	0300299
	0300300,	0300300
	0300301,	0300301
	0300302,	0300302
	0300303,	0300303
	0300304,	0300304
	0300305,	0300305
	0300306,	0300306
	0300307,	0300307
	0300308,	0300308
	0300309,	0300309
	0300310,	0300310
	0300311,	0300311
	0300312,	0300312
	0300313,	0300313
	0300314,	0300314
	0300315,	0300315
	0300316,	0300316
	0300317,	0300317
	0300318,	0300318
	0300319,	0300319
	0300320,	0300320
	0300321,	0300321
	0300322,	0300322
	0300323,	0300323
	0300324,	0300324
	0300325,	0300325
	0300326,	0300326
	0300327,	0300327
	0300328,	0300328
	0300329,	0300329
	0300330,	0300330
	0300331,	0300331
	0300332,	0300332
	0300333,	0300333
	0300334,	0300334
	0300335,	0300335
	0300336,	0300336
	0300337,	0300337
	0300338,	0300338
	0300339,	0300339
	0300340,	0300340
	0300341,	0300341
	0300342,	0300342
	0300343,	0300343
	0300344,	0300344
	0300345,	0300345
	0300346,	0300346
	0300347,	0300347
	0300348,	0300348
	0300349,	0300349
	0300350,	0300350
	0300351,	0300351
	0300352,	0300352
	0300353,	0300353
	0300354,	0300354
	0300355,	0300355
	0300356,	0300356
	0300357,	0300357
	0300358,	0300358
	0300359,	0300359
	0300360,	0300360
	0300361,	0300361
	0300362,	0300362
	0300363,	0300363
	0300364,	0300364
	0300365,	0300365
	0300366,	0300366
	0300367,	0300367
	0300368,	0300368
	0300369,	0300369
	0300370,	0300370
	0300371,	0300371
	0300372,	0300372
	0300373,	0300373
	0300374,	0300374
	0300375,	0300375
	0300376,	0300376
	0300377,	0300377
	0300378,	0300378
	0300379,	0300379
	0300380,	0300380
	0300381,	0300381
	0300382,	0300382
	0300383,	0300383
	0300384,	0300384
	0300385,	0300385
	0300386,	0300386
	0300387,	0300387
	0300388,	0300388
	0300389,	0300389
	0300390,	0300390
	0300391,	0300391
	0300392,	0300392
	0300393,	0300393
	0300394,	0300394
	0300395,	0300395
	0300396,	0300396
	0300397,	0300397
	0300398,	0300398
	0300399,	0300399
	0300400,	0300400
	0300401,	0300401
	0300402,	0300402
	0300403,	0300403
	0300404,	0300404
	0300405,	0300405
	0300406,	0300406
	0300407,	0300407
	0300408,	0300408
	0300409,	0300409
	0300410,	0300410
	0300411,	0300411
	0300412,	0300412
	0300413,	0300413
	0300414,	0300414
	0300415,	0300415
	0300416,	0300416
	0300417,	0300417
	0300418,	0300418
	0300419,	0300419
	0300420,	0300420
	0300421,	0300421
	0300422,	0300422
	0300423,	0300423
	0300424,	0300424
	0300425,	0300425
	0300426,	0300426
	0300427,	0300427
	0300428,	0300428
	0300429,	0300429
	0300430,	0300430
	0300431,	0300431
	0300432,	0300432
	0300433,	0300433
	0300434,	0300434
	0300435,	0300435
	0300436,	0300436
	0300437,	0300437
	0300438,	0300438
	0300439,	0300439
	0300440,	0300440
	0300441,	0300441
	0300442,	0300442
	0300443,	0300443
	0300444,	0300444
	0300445,	0300445
	0300446,	0300446
	0300447,	0300447
	0300448,	0300448
	0300449,	0300449
	0300450,	0300450
	0300451,	0300451
	0300452,	0300452
	0300453,	0300453
	0300454,	0300454
	0300455,	0300455
	0300456,	0300456
	0300457,	0300457
	0300458,	0300458
	0300459,	0300459
	0300460,	0300460
	0300461,	0300461
	0300462,	0300462
	0300463,	0300463
	0300464,	0300464
	0300465,	0300465
	0300466,	0300466
	0300467,	0300467
	0300468,	0300468
	0300469,	0300469
	0300470,	0300470
	0300471,	0300471
	0300472,	0300472
	0300473,	0300473
	0300474,	0300474
	0300475,	0300475
	0300476,	0300476
	0300477,	0300477
	0300478,	0300478
	0300479,	0300479
	0300480,	0300480
	0300481,	0300481
	0300482,	0300482
	0300483,	0300483
	0300484,	0300484
	0300485,	0300485
	0300486,	0300486
	0300487,	0300487
	0300488,	0300488
	0300489,	0300489
	0300490,	0300490
	0300491,	0300491
	0300492,	0300492
	0300493,	0300493
	0300494,	0300494
	0300495,	0300495
	0300496,	0300496
	0300497,	0300497
	0300498,	0300498
	0300499,	0300499
	0300500,	0300500
	0300501,	0300501
	0300502,	0300502
	0300503,	0300503
	0300504,	0300504
	0300505,	0300505
	0300506,	0300506
	0300507,	0300507
	0300508,	0300508
	0300509,	0300509
	0300510,	0300510
	0300511,	0300511
	0300512,	0300512
	0300513,	0300513
	0300514,	0300514
	0300515,	0300515
	0300516,	0300516
	0300517,	0300517
	0300518,	0300518
	0300519,	0300519
	0300520,	0300520
	0300521,	0300521
	0300522,	0300522
	0300523,	0300523
	0300524,	0300524
	0300525,	0300525
	0300526,	0300526
	0300527,	0300527
	0300528,	0300528
	0300529,	0300529
	0300530,	0300530
	0300531,	0300531
	0300532,	0300532
	0300533,	0300533
	0300534,	0300534
	0300535,	0300535
	0300536,	0300536
	0300537,	0300537
	0300538,	0300538
	0300539,	0300539
	0300540,	0300540
	0300541,	0300541
	0300542,	0300542
	0300543,	0300543
	0300544,	0300544
	0300545,	0300545
	0300546,	0300546
	0300547,	0300547
	0300548,	0300548
	0300549,	0300549
	0300550,	0300550
	0300551,	0300551
	0300552,	0300552
	0300553,	0300553
	0300554,	0300554
	0300555,	0300555
	0300556,	0300556
	0300557,	0300557
	0300558,	0300558
	0300559,	0300559
	0300560,	0300560
	0300561,	0300561
	0300562,	0300562
	0300563,	0300563
	0300564,	0300564
	0300565,	0300565
	0300566,	0300566
	0300567,	0300567
	0300568,	0300568
	0300569,	0300569
	0300570,	0300570
	0300571,	0300571
	0300572,	0300572
	0300573,	0300573
	0300574,	0300574
	0300575,	0300575
	0300576,	0300576
	0300577,	0300577
	0300578,	0300578
	0300579,	0300579
	0300580,	0300580
	0300581,	0300581
	0300582,	0300582
	0300583,	0300583
	0300584,	0300584
	0300585,	0300585
	0300586,	0300586
	0300587,	0300587
	0300588,	0300588
	0300589,	0300589
	0300590,	0300590
	0300591,	0300591
	0300592,	0300592
	0300593,	0300593
	0300594,	0300594
	0300595,	0300595
	0300596,	0300596
	0300597,	0300597
	0300598,	0300598
	0300599,	0300599
	0300600,	0300600
	0300601,	0300601
	0300602,	0300602
	0300603,	0300603
	0300604,	0300604
	0300605,	0300605
	0300606,	0300606
	0300607,	0300607
	0300608,	0300608
	0300609,	0300609
	0300610,	0300610
	0300611,	0300611
	0300612,	0300612
	0300613,	0300613
	0300614,	0300614
	0300615,	0300615
	0300616,	0300616
	0300617,	0300617
	0300618,	0300618
	0300619,	0300619
	0300620,	0300620
	0300621,	0300621
	0300622,	0300622
	0300623,	0300623
	0300624,	0300624
	0300625,	0300625
	0300626,	0300626
	0300627,	0300627
	0300628,	0300628
	0300629,	0300629
	0300630,	0300630
	0300631,	0300631
	0300632,	0300632
	0300633,	0300633
	0300634,	0300634
	0300635,	0300635
	0300636,	0300636
	0300637,	0300637
	0300638,	0300638
	0300639,	0300639
	0300640,	0300640
	0300641,	0300641
	0300642,	0300642
	0300643,	0300643
	0300644,	0300644
	0300645,	0300645
	0300646,	0300646
	0300647,	0300647
	0300648,	0300648
	0300649,	0300649
	0300650,	0300650
	0300651,	0300651
	0300652,	0300652
	0300653,	0300653
	0300654,	0300654
	0300655,	0300655
	0300656,	0300656
	0300657,	0300657
	0300658,	0300658
	0300659,	0300659
	0300660,	0300660
	0300661,	0300661
	0300662,	0300662
	0300663,	0300663
	0300664,	0300664
	0300665,	0300665
	0300666,	0300666
	0300667,	0300667
	0300668,	0300668
	0300669,	0300669
	0300670,	0300670
	0300671,	0300671
	0300672,	0300672
	0300673,	0300673
	0300674,	0300674
	0300675,	0300675
	0300676,	0300676
	0300677,	0300677
	0300678,	0300678
	0300679,	0300679
	0300680,	0300680
	0300681,	0300681
	0300682,	0300682
	0300683,	0300683
	0300684,	0300684
	0300685,	0300685
	0300686,	0300686
	0300687,	0300687
	0300688,	0300688
	0300689,	0300689
	0300690,	0300690
	0300691,	0300691
	0300692,	0300692
	0300693,	0300693
	0300694,	0300694
	0300695,	0300695
	0300696,	0300696
	0300697,	0300697
	0300698,	0300698
	0300699,	0300699
	0300700,	0300700
	0300701,	0300701
	0300702,	0300702
	0300703,	0300703
	0300704,	0300704
	0300705,	0300705
	0300706,	0300706
	0300707,	0300707
	0300708,	0300708
	0300709,	0300709
	0300710,	0300710
	0300711,	0300711
	0300712,	0300712
	0300713,	0300713
	0300714,	0300714
	0300715,	0300715
	0300716,	0300716
	0300717,	0300717
	0300718,	0300718
	0300719,	0300719
	0300720,	0300720
	0300721,	0300721
	0300722,	0300722
	0300723,	0300723
	0300724,	0300724
	0300725,	0300725
	0300726,	0300726
	0300727,	0300727
	0300728,	0300728
	0300729,	0300729
	0300730,	0300730
	0300731,	0300731
	0300732,	0300732
	0300733,	0300733
	0300734,	0300734
	0300735,	0300735
	0300736,	0300736
	0300737,	0300737
	0300738,	0300738
	0300739,	0300739
	0300740,	0300740
	0300741,	0300741
	0300742,	0300742
	0300743,	0300743
	0300744,	0300744
	0300745,	0300745
	0300746,	0300746
	0300747,	0300747
	0300748,	0300748
	0300749,	0300749
	0300750,	0300750
	0300751,	0300751
	0300752,	0300752
	0300753,	0300753
	0300754,	0300754
	0300755,	0300755
	0300756,	0300756
	0300757,	0300757
	0300758,	0300758
	0300759,	0300759
	0300760,	0300760
	0300761,	0300761
	0300762,	0300762
	0300763,	0300763
	0300764,	0300764
	0300765,	0300765
	0300766,	0300766
	0300767,	0300767
	0300768,	0300768
	0300769,	0300769
	0300770,	0300770
	0300771,	0300771
	0300772,	0300772
	0300773,	0300773
	0300774,	0300774
	0300775,	0300775
	0300776,	0300776
	0300777,	0300777
	0300778,	0300778
	0300779,	0300779
	0300780,	0300780
	0300781,	0300781
	0300782,	0300782
	0300783,	0300783
	0300784,	0300784
	0300785,	0300785
	0300786,	0300786
	0300787,	0300787
	0300788,	0300788
	0300789,	0300789
	0300790,	0300790
	0300791,	0300791
	0300792,	0300792
	0300793,	0300793
	0300794,	0300794
	0300795,	0300795
	0300796,	0300796
	0300797,	0300797
	0300798,	0300798
	0300799,	0300799
	0300800,	0300800
	0300801,	0300801
	0300802,	0300802
	0300803,	0300803
	0300804,	0300804
	0300805,	0300805
	0300806,	0300806
	0300807,	0300807
	0300808,	0300808
	0300809,	0300809
	0300810,	0300810
	0300811,	0300811
	0300812,	0300812
	0300813,	0300813
	0300814,	0300814
	0300815,	0300815
	0300816,	0300816
	0300817,	0300817
	0300818,	0300818
	0300819,	0300819
	0300820,	0300820
	0300821,	0300821
	0300822,	0300822
	0300823,	0300823
	0300824,	0300824
	0300825,	0300825
	0300826,	0300826
	0300827,	0300827
	0300828,	0300828
	0300829,	0300829
	0300830,	0300830
	0300831,	0300831
	0300832,	0300832
	0300833,	0300833
	0300834,	0300834
	0300835,	0300835
	0300836,	0300836
	0300837,	0300837
	0300838,	0300838
	0300839,	0300839
	0300840,	0300840
	0300841,	0300841
	0300842,	0300842
	0300843,	0300843
	0300844,	0300844
	0300845,	0300845
	0300846,	0300846
	0300847,	0300847
	0300848,	0300848
	0300849,	0300849
	0300850,	0300850
	0300851,	0300851
	0300852,	0300852
	0300853,	0300853
	0300854,	0300854
	0300855,	0300855
	0300856,	0300856
	0300857,	0300857
	0300858,	0300858
	0300859,	0300859
	0300860,	0300860
	0300861,	0300861
	0300862,	0300862
	0300863,	0300863
	0300864,	0300864
	0300865,	0300865
	0300866,	0300866
	0300867,	0300867
	0300868,	0300868
	0300869,	0300869
	0300870,	0300870
	0300871,	0300871
	0300872,	0300872
	0300873,	0300873
	0300874,	0300874
	0300875,	0300875
	0300876,	0300876
	0300877,	0300877
	0300878,	0300878
	0300879,	0300879
	0300880,	0300880
	0300881,	0300881
	0300882,	0300882
	0300883,	0300883
	0300884,	0300884
	0300885,	0300885
	0300886,	0300886
	0300887,	0300887
	0300888,	0300888
	0300889,	0300889
	0300890,	0300890
	0300891,	0300891
	0300892,	0300892
	0300893,	0300893
	0300894,	0300894
	0300895,	0300895
	0300896,	0300896
	0300897,	0300897
	0300898,	0300898
	0300899,	0300899
	0300900,	0300900
	0300901,	0300901
	0300902,	0300902
	0300903,	0300903
	0300904,	0300904
	0300905,	0300905
	0300906,	0300906
	0300907,	0300907
	0300908,	0300908
	0300909,	0300909
	0300910,	0300910
	0300911,	0300911
	0300912,	0300912
	0300913,	0300913
	0300914,	0300914
	0300915,	0300915
	0300916,	0300916
	0300917,	0300917
	0300918,	0300918
	0300919,	0300919
	0300920,	0300920
	0300921,	0300921
	0300922,	0300922
	0300923,	0300923
	0300924,	0300924
	0300925,	0300925
	0300926,	0300926
	0300927,	0300927
	0300928,	0300928
	0300929,	0300929
	0300930,	0300930
	0300931,	0300931
	0300932,	0300932
	0300933,	0300933
	0300934,	0300934
	0300935,	0300935
	0300936,	0300936
	0300937,	0300937
	0300938,	0300938
	0300939,	0300939
	0300940,	0300940
	0300941,	0300941
	0300942,	0300942
	0300943,	0300943
	0300944,	0300944
	0300945,	0300945
	0300946,	0300946
	0300947,	0300947
	0300948,	0300948
	0300949,	0300949
	0300950,	0300950
	0300951,	0300951
	0300952,	0300952
	0300953,	0300953
	0300954,	0300954
	0300955,	0300955
	0300956,	0300956
	0300957,	0300957
	0300958,	0300958
	0300959,	0300959
	0300960,	0300960
	0300961,	0300961
	0300962,	0300962
	0300963,	0300963
	0300964,	0300964
	0300965,	0300965
	0300966,	0300966
	0300967,	0300967
	0300968,	0300968
	0300969,	0300969
	0300970,	0300970
	0300971,	0300971
	0300972,	0300972
	0300973,	0300973
	0300974,	0300974
	0300975,	0300975
	0300976,	0300976
	0300977,	0300977
	0300978,	0300978
	0300979,	0300979
	0300980,	0300980
	0300981,	0300981
	0300982,	0300982
	0300983,	0300983
	0300984,	0300984
	0300985,	0300985
	0300986,	0300986
	0300987,	0300987
	0300988,	0300988
	0300989,	0300989
	0300990,	0300990
	0300991,	0300991
	0300992,	0300992
	0300993,	0300993
	0300994,	0300994
	0300995,	0300995
	0300996,	0300996
	0300997,	0300997
	0300998,	0300998
	0300999,	0300999
	0301000,	0301000
